Description,Portion,Cals(kcal),Fat Total(g),Carb (g),Protein(g),Calcium (mg),Iron(mg),Vitamin C (mg),Sugar (g),Fiber (g),Sodium (mg),A-IU (IU),Chol (mg),TFA (g),Fat saturated (g),,,,,,,,,,,,,,,
Cranberry Almond Muffin,1 each,523.696,16.267,89.551,5.991,13.422,1.912,0,53.181,1.842,645.676,0.408,0,0.037,1.1,,,,,,,,,,,,,,,
French Toast,1 each,279.808,8.743,29.989,13.693,110.166,2.564,0.034,2.849,1.985,377.693,329.047,279.474,0.014,2.683,,,,,,,,,,,,,,,
Assorted Bagels,3 each,270,1.5,52,10,150,3.15,0,9,2,390,0,0,0,0.5,,,,,,,,,,,,,,,
Bacon Slices,4 ozL,88.2,7.56,0,6.3,0,0,0,0,0,340.2,0,18.9,0,2.52,,,,,,,,,,,,,,,
Country Style Gravy,1 each,67.144,2.238,13.428,2.238,0,0,0,2.238,0,514.776,0,0,0,1.12,,,,,,,,,,,,,,,
Egg & Cheese Omelet,2 each,305.142,20.995,4.275,22.136,255.502,1.849,0.055,1.895,0.143,354.2,796.793,444.558,0.027,9.161,,,,,,,,,,,,,,,
Eggs to Order,1 each,149.362,9.286,4.04,11.447,53.693,1.634,0.057,2.304,0.149,138.583,480.6,331.245,0.062,3.2,,,,,,,,,,,,,,,
French Toast,1 each,279.808,8.743,29.989,13.693,110.166,2.564,0.034,2.849,1.985,377.693,329.047,279.474,0.014,2.683,,,,,,,,,,,,,,,
Hard Boiled Egg,1 each,77.5,5.305,0.56,6.29,25,0.595,0,0.56,0,62,260,186.5,- - - - -,1.634,,,,,,,,,,,,,,,
Hash Brown Patty,6 ozl,117.708,6.872,13,2,0,220,0,0,0,0,0,0,0.005,0.136,,,,,,,,,,,,,,,
Housemade Buttermilk Pancake Batter,1 serving,357.318,13.05,46.248,11.016,291.792,2.724,0.738,5.238,1.32,519.96,153.408,103.974,0.048,2.046,,,,,,,,,,,,,,,
Made to Order Stuffed Omelet,10 oz,384.193,25.789,9.112,26.482,265.609,2.105,11.394,4.622,0.625,580.745,986.17,459.412,0.057,10.907,,,,,,,,,,,,,,,
Oatmeal,1 each,168.81,3.38,30.39,5.63,0,1.62,0,1.13,4.5,185.91,0,0,0,0.56,,,,,,,,,,,,,,,
Sausage Patty,4 oz,178.326,16.842,0,5.944,0,0.178,0,0,0,208.047,0,29.721,0,5.944,,,,,,,,,,,,,,,
Scrambled Eggs,4 oz,179.756,11.907,0,14.791,49.304,1.775,0,0,0,160.239,493.043,419.087,0.003,3.763,,,,,,,,,,,,,,,
Spinach & Mushroom Tofu Scramble,1 each,114.831,8.871,4.521,6.261,74.162,1.583,16.718,1.046,1.574,66.767,1642.445,0.036,0.018,1.025,,,,,,,,,,,,,,,
Vegetarian Breakfast Patty,1 oz,80,3,3,10,0,- - - - -,2,0.5,1,260,0,0,0,0.5,,,,,,,,,,,,,,,
Whipped Margarine,1 each,202.5,22.275,0,0,0,0,0,0,0,222.75,1012.5,0,0,10.125,,,,,,,,,,,,,,,
Biscuit,4 oz,282.273,12.545,35.545,6.273,27.182,1.882,0,3.136,1.045,878.182,0,0,0,8.364,,,,,,,,,,,,,,,
Country Potatoes,4 oz,158.297,6.983,21.372,2.853,19.955,0.556,16.847,2.477,2.893,212.468,71.915,0.101,0.124,1.755,,,,,,,,,,,,,,,
Tater Tots,1 each,257.951,18.231,23.601,1.744,11.907,0.549,5.359,0.212,2.127,392.931,4.252,0,0.059,3.256,,,,,,,,,,,,,,,
"Bacon, Egg & Cheese Breakfast Taco",1 each,352.306,19.415,24.239,19.556,202.992,2.319,0.115,3.948,1.426,676.171,414.832,249.099,0.057,8.148,,,,,,,,,,,,,,,
Bean & Cheese Breakfast Taco,1 each,254.03,7.782,33.563,12.09,194.786,2.38,12.898,0,6.288,681.289,151.875,12.656,0,3.983,,,,,,,,,,,,,,,
Potato & Egg Breakfast Taco,1 each,276.857,11.309,29.556,12.601,109.546,2.491,2.071,4.044,2.273,364.141,266.12,223.843,0.087,4.326,,,,,,,,,,,,,,,
"Potato, Egg & Cheese Breakfast Taco",,314.871,15.053,28.607,15.194,212.002,2.326,1.564,4.02,2.051,449.149,394.21,209.404,0.079,6.681,,,,,,,,,,,,,,,
